"country","commodity","year","quantity_tonnes","flag_qty","value_usd1000","flag_val"
"Chile","Atlantic and Danube salmons, fresh or chilled",2001,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",2002,14200,"",34568,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2003,12231,"",36165,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2004,15362,"",45774,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2005,15021,"",48377,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2006,14677,"",71306,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2007,19926,"",100535,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2008,32086,"",143308,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2009,27772,"",146047,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2010,28576,"",199617,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2011,39481,"",247801,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2012,55397,"",255060,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2013,67181,"",417942,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2014,86933,"",526031,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2015,95496,"",475789,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2016,90580,"",603362,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2017,94252,"",669329,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2018,123209,"",844209,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2019,135105.41,"",868983.62,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2020,122054.75,"",537126.83,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2021,125390.65,"",829717.74,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2022,125865.37,"",1025645.78,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2023,142796.29,"",1102020.98,""
"Chile","Atlantic and Danube salmons, fresh or chilled",2024,148165.43,"",1140425.39,""
"Chile","Atlantic salmon and Danube salmon, frozen",1976,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1977,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1978,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1979,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1980,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1981,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1982,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1983,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1984,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1985,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1986,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1987,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1988,0,"...",0,"..."
"Chile","Atlantic salmon and Danube salmon, frozen",1989,97,"",510,""
"Chile","Atlantic salmon and Danube salmon, frozen",1990,909,"",4255,""
"Chile","Atlantic salmon and Danube salmon, frozen",1991,1590,"",7687,""
"Chile","Atlantic salmon and Danube salmon, frozen",1992,3866,"",20545,""
"Chile","Atlantic salmon and Danube salmon, frozen",1993,4458,"",21180,""
"Chile","Atlantic salmon and Danube salmon, frozen",1994,3655,"",14341,""
"Chile","Atlantic salmon and Danube salmon, frozen",1995,3907,"",16957,""
"Chile","Atlantic salmon and Danube salmon, frozen",1996,3335,"",11802,""
"Chile","Atlantic salmon and Danube salmon, frozen",1997,5235,"",16616,""
"Chile","Atlantic salmon and Danube salmon, frozen",1998,3587,"",12357,""
"Chile","Atlantic salmon and Danube salmon, frozen",1999,2634,"",8497,""
"Chile","Atlantic salmon and Danube salmon, frozen",2000,7448,"",25376,""
"Chile","Atlantic salmon and Danube salmon, frozen",2001,13956,"",27877,""
"Chile","Atlantic salmon and Danube salmon, frozen",2002,14020,"",28468,""
"Chile","Atlantic salmon and Danube salmon, frozen",2003,7746,"",22335,""
"Chile","Atlantic salmon and Danube salmon, frozen",2004,19112,"",55984,""
"Chile","Atlantic salmon and Danube salmon, frozen",2005,30811,"",98845,""
"Chile","Atlantic salmon and Danube salmon, frozen",2006,30769,"",143903,""
"Chile","Atlantic salmon and Danube salmon, frozen",2007,21642,"",101845,""
"Chile","Atlantic salmon and Danube salmon, frozen",2008,36071,"",147078,""
"Chile","Atlantic salmon and Danube salmon, frozen",2009,50706,"",171691,""
"Chile","Atlantic salmon and Danube salmon, frozen",2010,14110,"",77897,""
"Chile","Atlantic salmon and Danube salmon, frozen",2011,24660,"",161757,""
"Chile","Atlantic salmon and Danube salmon, frozen",2012,35938,"",167266,""
"Chile","Atlantic salmon and Danube salmon, frozen",2013,68714,"",378007,""
"Chile","Atlantic salmon and Danube salmon, frozen",2014,107413,"",627260,""
"Chile","Atlantic salmon and Danube salmon, frozen",2015,110862,"",497054,""
"Chile","Atlantic salmon and Danube salmon, frozen",2016,98730,"",548278,""
"Chile","Atlantic salmon and Danube salmon, frozen",2017,87724,"",591497,""
"Chile","Atlantic salmon and Danube salmon, frozen",2018,114089,"",709663,""
"Chile","Atlantic salmon and Danube salmon, frozen",2019,103241.77,"",608341.42,""
"Chile","Atlantic salmon and Danube salmon, frozen",2020,125485.89,"",550897.08,""
"Chile","Atlantic salmon and Danube salmon, frozen",2021,88628.22,"",485978.63,""
"Chile","Atlantic salmon and Danube salmon, frozen",2022,89650.95,"",691815.64,""
"Chile","Atlantic salmon and Danube salmon, frozen",2023,88016.22,"",636501.42,""
"Chile","Atlantic salmon and Danube salmon, frozen",2024,66872.44,"",465411.13,""
"Chile","Atlantic salmon, not minced, prepared or preserved",1976,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1977,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1978,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1979,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1980,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1981,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1982,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1983,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1984,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1985,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1986,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1987,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1988,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1989,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1990,32,"",202,""
"Chile","Atlantic salmon, not minced, prepared or preserved",1991,0,"...",1,""
"Chile","Atlantic salmon, not minced, prepared or preserved",1992,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1993,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1994,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1995,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1996,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1997,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",1998,320,"",1453,""
"Chile","Atlantic salmon, not minced, prepared or preserved",1999,392,"",2142,""
"Chile","Atlantic salmon, not minced, prepared or preserved",2000,362,"",2825,""
"Chile","Atlantic salmon, not minced, prepared or preserved",2001,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2002,294,"",1150,""
"Chile","Atlantic salmon, not minced, prepared or preserved",2003,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2004,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2005,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2006,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2007,2660,"",17997,""
"Chile","Atlantic salmon, not minced, prepared or preserved",2008,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2009,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2010,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2011,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2012,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2013,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2014,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2015,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2016,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2017,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2018,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2019,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2020,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2021,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2022,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2023,0,"...",0,"..."
"Chile","Atlantic salmon, not minced, prepared or preserved",2024,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1976,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1977,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1978,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1979,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1980,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1981,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1982,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1983,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1984,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1985,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1986,305,"",1271,""
"Chile","Pacific salmons, fresh or chilled",1987,995,"",4461,""
"Chile","Pacific salmons, fresh or chilled",1988,1725,"",10004,""
"Chile","Pacific salmons, fresh or chilled",1989,519,"",2590,""
"Chile","Pacific salmons, fresh or chilled",1990,1189,"",5270,""
"Chile","Pacific salmons, fresh or chilled",1991,947,"",4308,""
"Chile","Pacific salmons, fresh or chilled",1992,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1993,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1994,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1995,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1996,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1997,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1998,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",1999,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",2000,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",2001,0,"...",0,"..."
"Chile","Pacific salmons, fresh or chilled",2002,543,"",912,""
"Chile","Pacific salmons, fresh or chilled",2003,71,"",196,""
"Chile","Pacific salmons, fresh or chilled",2004,469,"",1320,""
"Chile","Pacific salmons, fresh or chilled",2005,336,"",999,""
"Chile","Pacific salmons, fresh or chilled",2006,523,"",2079,""
"Chile","Pacific salmons, fresh or chilled",2007,403,"",1630,""
"Chile","Pacific salmons, fresh or chilled",2008,284,"",1120,""
"Chile","Pacific salmons, fresh or chilled",2009,104,"",497,""
"Chile","Pacific salmons, fresh or chilled",2010,474,"",2474,""
"Chile","Pacific salmons, fresh or chilled",2011,193,"",1010,""
"Chile","Pacific salmons, fresh or chilled",2012,434,"",1625,""
"Chile","Pacific salmons, fresh or chilled",2013,217,"",866,""
"Chile","Pacific salmons, fresh or chilled",2014,19,"",170,""
"Chile","Pacific salmons, fresh or chilled",2015,4,"",21,""
"Chile","Pacific salmons, fresh or chilled",2016,1017,"",6522,""
"Chile","Pacific salmons, fresh or chilled",2017,796,"",4933,""
"Chile","Pacific salmons, fresh or chilled",2018,335,"",2186,""
"Chile","Pacific salmons, fresh or chilled",2019,433.35,"",2628.96,""
"Chile","Pacific salmons, fresh or chilled",2020,503.12,"",3057.52,""
"Chile","Pacific salmons, fresh or chilled",2021,1759.44,"",11857.11,""
"Chile","Pacific salmons, fresh or chilled",2022,2051.88,"",14028.71,""
"Chile","Pacific salmons, fresh or chilled",2023,4224.87,"",25504.68,""
"Chile","Pacific salmons, fresh or chilled",2024,3981.26,"",25093.41,""
"Chile","Pacific salmons, frozen, nei",1976,0,"...",0,"..."
"Chile","Pacific salmons, frozen, nei",1977,0,"...",0,"..."
"Chile","Pacific salmons, frozen, nei",1978,0,"N",1,""
"Chile","Pacific salmons, frozen, nei",1979,0,"...",0,"..."
"Chile","Pacific salmons, frozen, nei",1980,1,"",8,""
"Chile","Pacific salmons, frozen, nei",1981,104,"",371,""
"Chile","Pacific salmons, frozen, nei",1982,82,"",242,""
"Chile","Pacific salmons, frozen, nei",1983,53,"",124,""
"Chile","Pacific salmons, frozen, nei",1984,41,"",157,""
"Chile","Pacific salmons, frozen, nei",1985,299,"",1154,""
"Chile","Pacific salmons, frozen, nei",1986,558,"",2301,""
"Chile","Pacific salmons, frozen, nei",1987,96,"",395,""
"Chile","Pacific salmons, frozen, nei",1988,1342,"",8949,""
"Chile","Pacific salmons, frozen, nei",1989,4348,"",28421,""
"Chile","Pacific salmons, frozen, nei",1990,10250,"",46518,""
"Chile","Pacific salmons, frozen, nei",1991,13649,"",67557,""
"Chile","Pacific salmons, frozen, nei",1992,17644,"",103104,""
"Chile","Pacific salmons, frozen, nei",1993,17712,"",84642,""
"Chile","Pacific salmons, frozen, nei",1994,23426,"",97896,""
"Chile","Pacific salmons, frozen, nei",1995,34178,"",168843,""
"Chile","Pacific salmons, frozen, nei",1996,40625,"",136462,""
"Chile","Pacific salmons, frozen, nei",1997,44170,"",159706,""
"Chile","Pacific salmons, frozen, nei",1998,56933,"",151108,""
"Chile","Pacific salmons, frozen, nei",1999,58463,"",264443,""
"Chile","Pacific salmons, frozen, nei",2000,66587,"",246203,""
"Chile","Pacific salmons, frozen, nei",2001,100786,"",232312,""
"Chile","Pacific salmons, frozen, nei",2002,65849,"",147320,""
"Chile","Pacific salmons, frozen, nei",2003,54038,"",177150,""
"Chile","Pacific salmons, frozen, nei",2004,62010,"",183736,""
"Chile","Pacific salmons, frozen, nei",2005,74059,"",263201,""
"Chile","Pacific salmons, frozen, nei",2006,72938,"",269166,""
"Chile","Pacific salmons, frozen, nei",2007,77047,"",271367,""
"Chile","Pacific salmons, frozen, nei",2008,86210,"",293196,""
"Chile","Pacific salmons, frozen, nei",2009,87779,"",410448,""
"Chile","Pacific salmons, frozen, nei",2010,79412,"",402420,""
"Chile","Pacific salmons, frozen, nei",2011,108041,"",608479,""
"Chile","Pacific salmons, frozen, nei",2012,111112,"",517845,""
"Chile","Pacific salmons, frozen, nei",2013,103532,"",438255,""
"Chile","Pacific salmons, frozen, nei",2014,101635,"",596326,""
"Chile","Pacific salmons, frozen, nei",2015,117914,"",536570,""
"Chile","Pacific salmons, frozen, nei",2016,81487,"",449913,""
"Chile","Pacific salmons, frozen, nei",2017,119095,"",635984,""
"Chile","Pacific salmons, frozen, nei",2018,118355,"",760714,""
"Chile","Pacific salmons, frozen, nei",2019,122563.81,"",790829.04,""
"Chile","Pacific salmons, frozen, nei",2020,140273.64,"",646441.19,""
"Chile","Pacific salmons, frozen, nei",2021,121572.05,"",661692.44,""
"Chile","Pacific salmons, frozen, nei",2022,132917.72,"",887266.19,""
"Chile","Pacific salmons, frozen, nei",2023,128565.35,"",794396.64,""
"Chile","Pacific salmons, frozen, nei",2024,148429.64,"",895078.08,""
"Chile","Salmon fillets, dried, salted or in brine",1976,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1977,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1978,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1979,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1980,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1981,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1982,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1983,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1984,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1985,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1986,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1987,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1988,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1989,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1990,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1991,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1992,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1993,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1994,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1995,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1996,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1997,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1998,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",1999,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2000,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2001,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2002,1012,"",4321,""
"Chile","Salmon fillets, dried, salted or in brine",2003,1322,"",6343,""
"Chile","Salmon fillets, dried, salted or in brine",2004,1154,"",5644,""
"Chile","Salmon fillets, dried, salted or in brine",2005,696,"",3337,""
"Chile","Salmon fillets, dried, salted or in brine",2006,147,"",492,""
"Chile","Salmon fillets, dried, salted or in brine",2007,213,"",788,""
"Chile","Salmon fillets, dried, salted or in brine",2008,5,"",18,""
"Chile","Salmon fillets, dried, salted or in brine",2009,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2010,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2011,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2012,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2013,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2014,0,"N",5,""
"Chile","Salmon fillets, dried, salted or in brine",2015,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2016,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2017,44,"",388,""
"Chile","Salmon fillets, dried, salted or in brine",2018,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2019,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2020,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2021,0,"...",0,"..."
"Chile","Salmon fillets, dried, salted or in brine",2022,0.18,"",21.64,""
"Chile","Salmon fillets, dried, salted or in brine",2023,0.28,"",32.04,""
"Chile","Salmon fillets, dried, salted or in brine",2024,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1976,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1977,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1978,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1979,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1980,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1981,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1982,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1983,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1984,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1985,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1986,7,"",16,""
"Chile","Salmon fillets, fresh or chilled",1987,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1988,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1989,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1990,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1991,0,"...",0,"..."
"Chile","Salmon fillets, fresh or chilled",1992,1283,"",8025,""
"Chile","Salmon fillets, fresh or chilled",1993,3041,"",18888,""
"Chile","Salmon fillets, fresh or chilled",1994,5851,"",34312,""
"Chile","Salmon fillets, fresh or chilled",1995,9768,"",55336,""
"Chile","Salmon fillets, fresh or chilled",1996,17441,"",87499,""
"Chile","Salmon fillets, fresh or chilled",1997,30668,"",136473,""
"Chile","Salmon fillets, fresh or chilled",1998,36917,"",183003,""
"Chile","Salmon fillets, fresh or chilled",1999,33718,"",200821,""
"Chile","Salmon fillets, fresh or chilled",2000,49015,"",274162,""
"Chile","Salmon fillets, fresh or chilled",2001,75047,"",277070,""
"Chile","Salmon fillets, fresh or chilled",2002,77974,"E",300597,"E"
"Chile","Salmon fillets, fresh or chilled",2003,82168,"",366782,""
"Chile","Salmon fillets, fresh or chilled",2004,84594,"",366101,""
"Chile","Salmon fillets, fresh or chilled",2005,83322,"",405738,""
"Chile","Salmon fillets, fresh or chilled",2006,70305,"",507833,""
"Chile","Salmon fillets, fresh or chilled",2007,74180,"",535886,""
"Chile","Salmon fillets, fresh or chilled",2008,71997,"",512614,""
"Chile","Salmon fillets, fresh or chilled",2009,37416,"",288115,""
"Chile","Salmon fillets, fresh or chilled",2010,20357,"",207169,""
"Chile","Salmon fillets, fresh or chilled",2011,41391,"",407947,""
"Chile","Salmon fillets, fresh or chilled",2012,73500,"",511435,""
"Chile","Salmon fillets, fresh or chilled",2013,83486,"",752687,""
"Chile","Salmon fillets, fresh or chilled",2014,95454,"",902667,""
"Chile","Salmon fillets, fresh or chilled",2015,103846,"",778230,""
"Chile","Salmon fillets, fresh or chilled",2016,97704,"",947548,""
"Chile","Salmon fillets, fresh or chilled",2017,97802,"",1070257,""
"Chile","Salmon fillets, fresh or chilled",2018,118837,"",1231112,""
"Chile","Salmon fillets, fresh or chilled",2019,124980.41,"",1250658.16,""
"Chile","Salmon fillets, fresh or chilled",2020,139889.08,"",1092694.02,""
"Chile","Salmon fillets, fresh or chilled",2021,145758.21,"",1502070.54,""
"Chile","Salmon fillets, fresh or chilled",2022,146434.42,"",1762161.1,""
"Chile","Salmon fillets, fresh or chilled",2023,152720.01,"",1785642.25,""
"Chile","Salmon fillets, fresh or chilled",2024,146967.7,"",1707096.07,""
"Chile","Salmon fillets, frozen",1976,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1977,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1978,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1979,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1980,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1981,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1982,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1983,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1984,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1985,0,"N",2,""
"Chile","Salmon fillets, frozen",1986,2,"",11,""
"Chile","Salmon fillets, frozen",1987,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1988,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1989,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1990,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1991,0,"...",0,"..."
"Chile","Salmon fillets, frozen",1992,938,"",6778,""
"Chile","Salmon fillets, frozen",1993,2248,"",15973,""
"Chile","Salmon fillets, frozen",1994,2624,"",16193,""
"Chile","Salmon fillets, frozen",1995,4582,"",29898,""
"Chile","Salmon fillets, frozen",1996,6250,"",35579,""
"Chile","Salmon fillets, frozen",1997,11231,"",53510,""
"Chile","Salmon fillets, frozen",1998,19977,"",64612,""
"Chile","Salmon fillets, frozen",1999,12590,"",68235,""
"Chile","Salmon fillets, frozen",2000,18625,"",97657,""
"Chile","Salmon fillets, frozen",2001,42856,"",141980,""
"Chile","Salmon fillets, frozen",2002,48000,"E",140000,"E"
"Chile","Salmon fillets, frozen",2003,31574,"",141592,""
"Chile","Salmon fillets, frozen",2004,47951,"",229268,""
"Chile","Salmon fillets, frozen",2005,59054,"",281769,""
"Chile","Salmon fillets, frozen",2006,56833,"",380296,""
"Chile","Salmon fillets, frozen",2007,43518,"",291290,""
"Chile","Salmon fillets, frozen",2008,50422,"",327440,""
"Chile","Salmon fillets, frozen",2009,37149,"",250763,""
"Chile","Salmon fillets, frozen",2010,15740,"",145632,""
"Chile","Salmon fillets, frozen",2011,24399,"",231570,""
"Chile","Salmon fillets, frozen",2012,41218,"",281841,""
"Chile","Salmon fillets, frozen",2013,64037,"",499837,""
"Chile","Salmon fillets, frozen",2014,69689,"",649716,""
"Chile","Salmon fillets, frozen",2015,66512,"",485888,""
"Chile","Salmon fillets, frozen",2016,69444,"",603910,""
"Chile","Salmon fillets, frozen",2017,70696,"",778138,""
"Chile","Salmon fillets, frozen",2018,74324,"",742686,""
